"id_maquina","proceso","criticidad","fabricante","fecha_alta","edad_alta","exposicion_dias","potencia_kw","carga","plan_mantenimiento","intervalo_mant"
"M290","Corte","Critica","C",2022-01-05,0,1091,16.4,0.72,"Preventivo",60
"M291","Lijado","Importante","C",2014-02-24,6.86,1460,8.3,0.469,"Preventivo",60
"M292","Corte","Importante","A",2020-12-01,0.08,1460,12.7,0.571,"Correctivo",NA
"M293","Mecanizado","Auxiliar","B",2018-01-27,2.93,1460,14,0.785,"Preventivo",60
"M294","Ensamblaje","Importante","A",2014-10-19,6.21,1460,17.6,0.737,"Correctivo",NA
"M295","Corte","Auxiliar","A",2014-04-07,6.74,1460,10,0.768,"Correctivo",NA
"M296","Acabado","Auxiliar","B",2019-01-29,1.93,1460,15,0.701,"Correctivo",NA
"M297","Acabado","Importante","B",2016-01-24,4.94,1460,9.6,0.884,"Preventivo",90
"M298","Corte","Auxiliar","C",2017-09-15,3.3,1460,11.6,0.401,"Correctivo",NA
"M299","Acabado","Auxiliar","C",2019-02-27,1.85,1460,13.3,0.714,"Preventivo",60
"M300","Ensamblaje","Critica","B",2018-08-12,2.39,1460,9.5,0.575,"Preventivo",120
"M301","Acabado","Auxiliar","A",2021-02-02,0,1428,13.9,0.45,"Correctivo",NA
"M302","Lijado","Importante","A",2021-09-06,0,1212,9.7,0.769,"Correctivo",NA
"M303","Lijado","Importante","A",2020-06-06,0.57,1460,12.7,0.67,"Correctivo",NA
"M304","Mecanizado","Auxiliar","C",2013-05-26,7.61,1460,10.3,0.793,"Correctivo",NA
"M305","Ensamblaje","Auxiliar","A",2022-04-23,0,983,9.2,0.657,"Preventivo",120
"M306","Mecanizado","Auxiliar","B",2014-10-18,6.21,1460,11.5,0.804,"Preventivo",60
"M307","Corte","Auxiliar","A",2021-11-17,0,1140,6.5,0.834,"Correctivo",NA
"M308","Lijado","Auxiliar","A",2022-05-16,0,960,17.3,0.661,"Correctivo",NA
"M309","Acabado","Auxiliar","A",2018-11-13,2.14,1460,12.2,0.615,"Preventivo",90
"M310","Ensamblaje","Critica","A",2019-02-17,1.87,1460,3,0.617,"Preventivo",90
"M311","Corte","Auxiliar","C",2015-06-11,5.56,1460,18.2,0.346,"Preventivo",90
"M312","Acabado","Critica","B",2014-05-07,6.66,1460,10.5,0.583,"Preventivo",120
"M313","Corte","Importante","A",2018-06-30,2.51,1460,10.9,0.904,"Correctivo",NA
"M314","Acabado","Auxiliar","C",2013-11-03,7.17,1460,11.5,0.513,"Correctivo",NA
"M315","Corte","Critica","A",2022-07-16,0,899,17.8,0.409,"Preventivo",90
"M316","Acabado","Importante","C",2014-10-31,6.18,1460,6.3,0.56,"Correctivo",NA
"M317","Mecanizado","Importante","B",2015-10-07,5.24,1460,6.6,0.776,"Correctivo",NA
"M318","Acabado","Auxiliar","A",2013-06-22,7.53,1460,16.5,0.663,"Preventivo",120
"M319","Acabado","Importante","A",2017-04-19,3.71,1460,12.9,0.539,"Preventivo",90
"M320","Acabado","Critica","C",2015-03-08,5.82,1460,17.9,0.55,"Correctivo",NA
"M321","Acabado","Importante","C",2013-07-22,7.45,1460,14.8,0.546,"Preventivo",90
"M322","Ensamblaje","Auxiliar","A",2018-04-30,2.68,1460,11.9,0.794,"Correctivo",NA
"M323","Acabado","Auxiliar","A",2014-11-17,6.13,1460,15.2,0.885,"Correctivo",NA
"M324","Lijado","Auxiliar","B",2017-03-02,3.84,1460,12.2,0.491,"Preventivo",60
"M325","Acabado","Importante","C",2019-03-07,1.82,1460,9.2,0.769,"Preventivo",120
"M326","Lijado","Importante","B",2018-11-22,2.11,1460,9.9,0.845,"Correctivo",NA
"M327","Ensamblaje","Auxiliar","B",2021-05-17,0,1324,16.6,0.395,"Correctivo",NA
"M328","Ensamblaje","Importante","C",2014-11-29,6.1,1460,18.2,0.805,"Correctivo",NA
"M329","Mecanizado","Auxiliar","B",2019-04-28,1.68,1460,4,0.86,"Preventivo",60
"M330","Mecanizado","Auxiliar","C",2016-06-30,4.51,1460,12.2,0.772,"Preventivo",90
"M331","Lijado","Auxiliar","C",2013-03-08,7.82,1460,5.9,0.431,"Preventivo",90
"M332","Mecanizado","Importante","B",2018-03-13,2.81,1460,9.6,0.644,"Correctivo",NA
"M333","Ensamblaje","Critica","A",2016-05-02,4.67,1460,9.9,0.618,"Preventivo",120
"M334","Mecanizado","Auxiliar","B",2021-06-07,0,1303,15,0.378,"Correctivo",NA
"M335","Corte","Auxiliar","C",2018-06-23,2.53,1460,19.3,0.644,"Preventivo",120
"M336","Acabado","Critica","A",2016-03-20,4.79,1460,11.5,0.967,"Preventivo",60
"M337","Mecanizado","Importante","C",2017-08-17,3.38,1460,13.8,0.903,"Correctivo",NA
"M338","Mecanizado","Auxiliar","B",2014-06-04,6.58,1460,12.4,0.676,"Correctivo",NA
"M339","Corte","Importante","B",2016-10-06,4.24,1460,3,0.557,"Correctivo",NA
"M340","Lijado","Critica","B",2018-02-19,2.87,1460,17.5,0.538,"Correctivo",NA
"M341","Corte","Importante","A",2014-11-17,6.13,1460,10.7,0.803,"Correctivo",NA
"M342","Acabado","Critica","C",2022-06-10,0,935,14.9,0.417,"Preventivo",90
"M343","Ensamblaje","Critica","B",2019-10-19,1.21,1460,18.4,0.797,"Correctivo",NA
"M344","Ensamblaje","Auxiliar","B",2017-03-13,3.81,1460,10.3,0.542,"Correctivo",NA
"M345","Mecanizado","Importante","A",2017-09-28,3.26,1460,7,0.721,"Preventivo",120
"M346","Lijado","Auxiliar","C",2020-03-28,0.76,1460,13.7,0.362,"Preventivo",60
"M347","Corte","Importante","C",2022-10-03,0,820,12.2,0.652,"Correctivo",NA
"M348","Acabado","Auxiliar","B",2017-05-18,3.63,1460,13.2,0.415,"Correctivo",NA
"M349","Corte","Importante","B",2013-12-07,7.07,1460,16.9,0.756,"Preventivo",120
"M350","Lijado","Auxiliar","B",2022-05-04,0,972,7.4,0.444,"Preventivo",90
"M351","Mecanizado","Auxiliar","B",2018-03-03,2.84,1460,11.3,0.67,"Preventivo",60
"M352","Mecanizado","Importante","B",2013-06-25,7.53,1460,3.9,0.517,"Preventivo",60
"M353","Ensamblaje","Auxiliar","A",2015-12-08,5.07,1460,15.7,0.69,"Preventivo",90
"M354","Acabado","Critica","B",2017-07-12,3.48,1460,10.2,0.484,"Preventivo",90
"M355","Lijado","Auxiliar","A",2019-05-09,1.65,1460,15,0.429,"Correctivo",NA
"M356","Ensamblaje","Auxiliar","A",2022-01-22,0,1074,16.7,0.827,"Correctivo",NA
"M357","Ensamblaje","Importante","C",2017-07-02,3.5,1460,15.5,0.56,"Correctivo",NA
"M358","Lijado","Auxiliar","B",2013-07-08,7.49,1460,7,0.73,"Preventivo",90
"M359","Ensamblaje","Importante","A",2014-09-10,6.32,1460,12.1,0.546,"Correctivo",NA
"M360","Ensamblaje","Auxiliar","A",2014-03-10,6.82,1460,8.5,0.796,"Preventivo",60
"M361","Lijado","Auxiliar","B",2020-04-22,0.7,1460,12.8,0.879,"Preventivo",90
"M362","Ensamblaje","Importante","A",2013-05-03,7.67,1460,15.7,0.62,"Preventivo",90
"M363","Ensamblaje","Importante","B",2017-08-16,3.38,1460,19.9,0.871,"Preventivo",90
"M364","Ensamblaje","Auxiliar","A",2013-01-03,8,1460,5.1,0.72,"Preventivo",90
"M365","Lijado","Auxiliar","A",2017-08-14,3.39,1460,8.4,0.541,"Correctivo",NA
"M366","Mecanizado","Auxiliar","A",2023-01-26,0,705,11.2,0.803,"Correctivo",NA
"M367","Mecanizado","Auxiliar","B",2021-12-12,0,1115,7.5,0.67,"Preventivo",60
"M368","Corte","Importante","B",2016-07-05,4.5,1460,9.9,0.716,"Preventivo",90
"M369","Ensamblaje","Auxiliar","C",2021-12-14,0,1113,10.3,0.75,"Correctivo",NA
"M370","Lijado","Auxiliar","A",2014-06-23,6.53,1460,15.8,0.741,"Correctivo",NA
"M371","Ensamblaje","Importante","A",2015-03-11,5.82,1460,12.9,0.509,"Preventivo",120
"M372","Corte","Auxiliar","C",2018-12-06,2.07,1460,10.4,0.705,"Preventivo",120
"M373","Ensamblaje","Importante","B",2021-06-06,0,1304,19.6,0.798,"Correctivo",NA
"M374","Mecanizado","Auxiliar","A",2022-12-14,0,748,9.3,0.801,"Correctivo",NA
"M375","Lijado","Auxiliar","B",2022-11-28,0,764,12.8,0.417,"Correctivo",NA
"M376","Acabado","Importante","C",2019-03-15,1.8,1460,21.9,0.504,"Correctivo",NA
"M377","Ensamblaje","Auxiliar","A",2017-12-04,3.08,1460,15.4,0.637,"Preventivo",120
"M378","Corte","Critica","B",2023-04-24,0,617,8.2,0.876,"Preventivo",60
"M379","Lijado","Auxiliar","A",2018-11-29,2.09,1460,15.5,0.471,"Preventivo",90
"M380","Ensamblaje","Critica","B",2018-11-18,2.12,1460,12.7,0.557,"Correctivo",NA
"M381","Corte","Auxiliar","C",2019-10-19,1.21,1460,11.6,0.931,"Preventivo",90
"M382","Acabado","Auxiliar","A",2019-04-15,1.72,1460,9.4,0.597,"Correctivo",NA
"M383","Corte","Auxiliar","A",2019-04-27,1.68,1460,12.5,0.349,"Correctivo",NA
"M384","Acabado","Auxiliar","A",2017-02-17,3.87,1460,9.7,0.386,"Preventivo",120
"M385","Acabado","Auxiliar","A",2022-09-03,0,850,10.6,0.636,"Preventivo",60
"M386","Ensamblaje","Critica","B",2018-03-11,2.81,1460,10.9,0.837,"Correctivo",NA
"M387","Lijado","Critica","C",2015-10-03,5.25,1460,10.4,0.708,"Preventivo",60
"M388","Corte","Auxiliar","A",2019-01-12,1.97,1460,17.7,0.434,"Correctivo",NA
"M389","Ensamblaje","Auxiliar","B",2017-01-30,3.92,1460,16.5,0.656,"Correctivo",NA
"M390","Lijado","Importante","B",2018-12-12,2.06,1460,9.8,0.541,"Preventivo",120
"M391","Acabado","Auxiliar","C",2014-10-13,6.22,1460,9.7,0.828,"Correctivo",NA
"M392","Corte","Auxiliar","B",2021-06-08,0,1302,17.9,0.382,"Preventivo",60
"M393","Corte","Critica","A",2013-06-03,7.59,1460,13.3,0.203,"Correctivo",NA
"M394","Lijado","Importante","C",2021-08-19,0,1230,6.7,0.807,"Correctivo",NA
"M395","Corte","Auxiliar","C",2018-06-09,2.57,1460,16.4,0.748,"Preventivo",120
"M396","Mecanizado","Auxiliar","B",2014-06-16,6.55,1460,18.3,0.849,"Preventivo",90
"M397","Acabado","Critica","A",2014-09-22,6.28,1460,3.8,0.606,"Correctivo",NA
"M398","Lijado","Critica","C",2021-06-21,0,1289,15.1,0.672,"Correctivo",NA
"M399","Lijado","Importante","A",2013-07-22,7.45,1460,16.4,0.629,"Preventivo",90
"M400","Mecanizado","Critica","C",2023-04-16,0,625,13.7,0.751,"Correctivo",NA
